Timestep,Score,Won,Steps Alive
1191544,1,0,315
1191928,1,0,48
1192312,1,0,48
1194488,6,0,272
1194864,2,0,47
1198360,4,0,437
1199200,2,0,105
1200608,4,0,176
1201408,2,0,100
1203056,5,0,206
1205304,4,0,281
1207280,2,0,247
1209120,1,0,230
1210888,1,0,221
1211264,2,0,47
1212912,4,0,206
1215400,4,0,311
1217448,2,0,256
1218328,1,0,110
1220088,3,0,220
1223000,3,0,364
1224864,4,0,233
1225744,2,0,110
1226592,1,0,106
1227096,1,0,63
1228504,3,0,176
1228808,1,0,38
1231136,4,0,291
1233192,3,0,257
1233664,1,0,59
1234832,4,0,146
1236632,4,0,225
1237464,2,0,104
1237912,0,0,56
1239472,0,0,195
1242952,8,0,435
1243896,2,0,118
1244320,1,0,53
1245192,2,0,109
1246312,3,0,140
1246688,2,0,47
1247104,1,0,52
1247928,1,0,103
1249160,3,0,154
1250640,2,0,185
1251072,1,0,54
1251616,1,0,68
1252056,1,0,55
1252480,1,0,53
1253272,2,0,99
1254600,3,0,166
1255048,1,0,56
1257152,6,0,263
1257664,0,0,64
1258448,2,0,98
1259208,2,0,95
1259592,1,0,48
1260120,2,0,66
1260848,1,0,91
1263648,4,0,350
1264368,1,0,90
1264744,2,0,47
1266016,2,0,159
1267632,4,0,202
1269064,3,0,179
1269840,0,0,97
1271136,3,0,162
1271576,1,0,55
1273600,3,0,253
1276064,5,0,308
1276912,2,0,106
1277384,1,0,59
1277960,2,0,72
1278736,2,0,97
1279128,1,0,49
1279680,1,0,69
1281216,3,0,192
1281608,1,0,49
1282000,1,0,49
1283200,3,0,150
1283696,1,0,62
1286288,3,0,324
1287496,2,0,151
1287920,1,0,53
1288352,2,0,54
1289536,3,0,148
1289928,1,0,49
1290440,1,0,64
1292064,5,0,203
1293952,4,0,236
1294424,1,0,59
1294864,1,0,55
1295744,1,0,110
1297584,3,0,230
1298080,1,0,62
1300000,2,0,240
1300776,3,0,97
1301192,1,0,52
1301744,1,0,69
1302584,2,0,105
1304176,5,0,199
1304552,1,0,47
1304976,1,0,53
1306824,2,0,231
